"author","year"
"CMKENTHO",1125
"CMPETERB",1150
"CMANCRIW",1200
"CMORM",1200
"CMVICES1",1200
"CMHALI",1225
"CMJULIA",1225
"CMKATHE",1225
"CMLAMB1",1225
"CMLAMBX1",1225
"CMMARGA",1225
"CMSAWLES",1225
"CMTRINIT",1225
"CMKENTSE",1275
"CMAYENBI",1300
"CMBOETH",1300
"CMCTMELI",1300
"CMCTPARS",1300
"CMEDVERN",1300
"CMHORSES",1300
"CMEARLPS",1350
"CMEDTHOR",1350
"CMCLOUD",1372
"CMPOLYCH",1387
"CMNTEST",1388
"CMPURVEY",1388
"CMASTRO",1391
"CMEQUATO",1392
"CMOTEST",1395
"CMHILTON",1396
"CMAELR3",1400
"CMBRUT3",1400
"CMJULNOR",1400
"CMMALORY",1400
"CMMANDEV",1400
"CMROLLEP",1400
"CMROLLTR",1400
"CMTHORN",1400
"CMVICES4",1400
"CMWYCSER",1400
"CMMIRK",1415
"CMBENRUL",1425
"CMROYAL",1425
"CMEDMUND",1438
"CMGAYTRY",1440
"CMAELR4",1450
"CMKEMPE",1450
"CMCAPSER",1452
"CMCAPCHR",1464
"CMGREGOR",1475
"CMREYNAR",1481
"CMREYNES",1485
"CMFITZJA",1495
"CMINNOCE",1497
"CMSIEGE",1500
